Known As,Full Name,Best Position,Nationality,Club Name
E. Alfonso,Enrico Alfonso,GK,Italy,SPAL
Matheus Aiás,Matheus Aiás Barrozo Rodrigues,ST,Brazil,Racing Santander
M. Ellingsen,Martin Ellingsen,CDM,Norway,Molde FK
A. Sissoko,Alpha Sissoko,RB,France,US Quevilly Rouen Métropole
A. Mikkelsen,August Mikkelsen,CAM,Norway,Tromsø IL
Ricard,Ricard Sánchez Sendra,RB,Spain,Granada CF
Ureña,Óscar Ureña García,RM,Spain,Girona FC
L. Caicedo,Luis Adrián Caicedo,CB,Ecuador,Delfín Sporting Club
Jozabed,Jozabed Sánchez Ruiz,CM,Spain,Málaga CF
J. Marié,Jordan Marié,CM,France,Dijon FCO
M. Hebo Rasmussen,Mathias Hebo Rasmussen,CM,Denmark,Cracovia
Costinha,João Pedro Loureiro da Costa,RB,Portugal,Rio Ave FC
J. Knight,Josh Knight,CDM,England,Peterborough United
K. Pestka,Kamil Pestka,LWB,Poland,Cracovia
Sergio López,Sergio López Galache,RB,Spain,FC Basel 1893
M. Malone,Maurice Malone,ST,Germany,RZ Pellets Wolfsberger AC
Antoñín,Antonio Cortés Heredia,ST,Spain,Vitória de Guimarães
A. Virginius,Alan Virginius,RM,France,LOSC Lille
R. Ivanov,Robert Ivanov,CB,Finland,Warta Poznań
D. van Mieghem,Daryl van Mieghem,RW,Netherlands,FC Volendam
J. Castro,Joan Castro,RB,Colombia,La Equidad
Joan Femenías,Joan Femenías del Salto,GK,Spain,Levante Unión Deportiva
A. Moueffek,Aimen Moueffek,CAM,France,AS Saint-Étienne
T. Meziani,Tayeb Meziani,RM,Algeria,Abha Club
A. Tahiri,Anas Tahiri,CAM,Morocco,SC Heerenveen
V. Bichakhchyan,Vahan Bichakhchyan,CAM,Armenia,Pogoń Szczecin
E. Vaessen,Etienne Vaessen,GK,Netherlands,RKC Waalwijk
H. Caballero,Hernesto Caballero,CDM,Paraguay,Club Libertad
D. Lachman,Darryl Lachman,CB,Curacao,Perth Glory
E. Lancini,Edoardo Lancini,CB,Italy,Palermo
K. Salazar,Kevin Salazar,RM,Colombia,La Equidad
E. Ceïde,Emil Ceïde,RM,Norway,U.S. Sassuolo Calcio
R. Benatelli,Rico Benatelli,CDM,Germany,SK Austria Klagenfurt
D. Iorfa,Dominic Iorfa,CB,England,Sheffield Wednesday
J. Kliment,Jan Kliment,ST,Czech Republic,FC Viktoria Plzeň
M. Dominguez,Maxime Dominguez,CAM,Switzerland,Miedź Legnica
F. Flecker,Florian Flecker,RM,Austria,LASK Linz
B. Lederman,Ben Lederman,CAM,Poland,Raków Częstochowa
N. Ünüvar,Naci Ünüvar,CAM,Netherlands,Trabzonspor
M. van Duinen,Mike van Duinen,LM,Netherlands,Excelsior
F. Sollacaro,Francois-Joseph Sollacaro,GK,France,AC Ajaccio
J. Hayes,Jonny Hayes,LB,Republic of Ireland,Aberdeen
O. Mbaizo,Olivier Mbaizo,RWB,Cameroon,Philadelphia Union
F. El Melali,Farid El Melali,CAM,Algeria,Angers SCO
R. Ergas,Robert Ergas,LB,Uruguay,Cerro Largo Fútbol Club
E. Anderson,Elliot Anderson,CAM,Scotland,Newcastle United
B. Veglio,Bruno Veglio,CM,Uruguay,Montevideo Wanderers
E. Rroca,Eduart Rroca,CAM,Albania,İstanbulspor
B. Borrello,Brandon Borrello,RM,Australia,Western Sydney Wanderers
R. Hardie,Ryan Hardie,ST,Scotland,Plymouth Argyle
Roberto Alves,Roberto Emanuel Oliveira Alves,LM,Switzerland,Radomiak Radom
V. Ghiță,Virgil Ghiță,CB,Romania,Cracovia
A. Tapsoba,Abdoul Fessal Tapsoba,ST,Burkina Faso,Standard de Liège
R. Negru,Radu Negru,RB,Romania,FC U Craiova 1948
J. Dawa,Joyskim Dawa,CB,Cameroon,FCSB (Steaua)
H. Lansbury,Henri Lansbury,CM,England,Luton Town
E. Camargo,Enrique Camargo,CM,Colombia,Deportivo Cali
J. Morrell,Joe Morrell,CM,Wales,Portsmouth
T. Sainte-Luce,Théo Sainte-Luce,LWB,France,Montpellier Hérault SC
Lucas Ahijado,Lucas Ahijado Quintana,RB,Spain,Real Oviedo
I. Saibari,Ismael Saibari,CAM,Morocco,PSV
B. Guzan,Brad Guzan,GK,United States,Atlanta United
Adriano Junqueiras,Adriano Davi Junqueiras Duarte,CB,Brazil,Sport Club Corinthians Paulista
A. Al Khaibari,Abdullah Al Khaibari,CDM,Saudi Arabia,Al Nassr
T. Keller,Thomas Keller,CB,Germany,1. FC Heidenheim 1846
M. Marin,Marius Marin,CDM,Romania,Pisa
G. Aburjania,Giorgi Aburjania,CM,Georgia,Gil Vicente FC
A. Pabón,Adonnis Pabón,GK,Ecuador,Mushuc Runa
J. Jones,Joevin Jones,LB,Trinidad and Tobago,Inter Miami CF
M. Şengezer,Muhammed Şengezer,GK,Turkey,İstanbul Başakşehir FK
A. Vrenezi,Albion Vrenezi,RW,Kosovo,TSV 1860 München
D. Schnegg,David Schnegg,LWB,Austria,SK Sturm Graz
K. Aparicio,Koichi Aparicio,CDM,Peru,Cienciano
J. Smith,Jordan Smith,GK,England,Nottingham Forest
Rômulão Selva,Rômulo Roberto Selva Esser,ST,Brazil,América Futebol Clube
Li Shuai,Shuai Li,LB,China PR,Shanghai Port FC
D. Sanderson,Dion Sanderson,CB,England,Birmingham City
I. Touré,Isaak Touré,CB,France,Olympique de Marseille
N. Garayalde,Nicolás Garayalde,CAM,Argentina,Vélez Sarsfield
Hugo Vallejo,Hugo Vallejo Avilés,CAM,Spain,SD Ponferradina
D. Verhulst,Davino Verhulst,GK,Belgium,Royal Antwerp FC
T. Holmes,Tom Holmes,CB,England,Reading
V. Cojocaru,Valentin Cojocaru,GK,Romania,Oud-Heverlee Leuven
Y. Thoelen,Yannick Thoelen,GK,Belgium,KV Mechelen
N. Wimmer,Nicolas Wimmer,CB,Austria,SK Austria Klagenfurt
L. Díaz,Lautaro Díaz,RM,Argentina,Independiente del Valle
M. Urruti,Maximiliano Urruti,CAM,Argentina,Austin FC
Loureiro,Miguel Loureiro Ameijenda,RB,Spain,CD Lugo
S. Wootton,Scott Wootton,CB,England,Wellington Phoenix
J. Böðvarsson,Jón Daði Böðvarsson,ST,Iceland,Bolton Wanderers
S. Marreh,Sulayman Marreh,CDM,Gambia,KAA Gent
A. Arslan,Ahmet Arslan,CAM,Germany,SG Dynamo Dresden
J. Houwen,Jeroen Houwen,GK,Netherlands,Vitesse
E. Mena,Esneyder Mena,RM,Colombia,América de Cali
M. Insaurralde,Manuel Insaurralde,CAM,Argentina,Gimnasia y Esgrima La Plata
N. Molina,Nixon Molina,CDM,Ecuador,Barcelona Sporting Club
D. Łukasik,Daniel Łukasik,CDM,Poland,Radomiak Radom
I. Swers,Iebe Swers,RM,Belgium,KV Mechelen
T. Edun,Tayo Edun,LWB,England,Blackburn Rovers
E. Hackman,Emmanuel Hackman,RB,Togo,Gil Vicente FC
T. Plavotic,Tin Plavotic,CB,Croatia,SV Ried
F. Iacob,Florin Iacob,GK,Romania,AFC UTA Arad
Diego Rosa,Diego Gabriel Silva Rosa,CM,Brazil,FC Vizela
J. Murphy,Josh Murphy,LW,England,Oxford United
A. Considine,Andrew Considine,CB,Scotland,St. Johnstone FC
C. Metcalfe,Connor Metcalfe,CM,Australia,FC St. Pauli
B. Riveros,Blás Riveros,LWB,Paraguay,Brøndby IF
D. Islamović,Dino Islamović,ST,Montenegro,Gangwon FC
E. Brignola,Enrico Brignola,CAM,Italy,Cosenza
K. Silva,Kendrys Silva,RB,Venezuela,Deportivo La Guaira FC
T. Vargas,Thibaut Vargas,RWB,France,Nîmes Olympique
Lee Yong Jae,Yong Jae Lee,RW,Korea Republic,Incheon United FC
M. Vargas,Miguel Vargas,GK,Chile,Cienciano
F. Fielding,Frank Fielding,GK,England,Stoke City
Germán Parreño,Germán Parreño Boix,GK,Spain,UD Ibiza
H. Weydandt,Hendrik Weydandt,ST,Germany,Hannover 96
I. Mohammad,Ismael Mohammad,RWB,Qatar,Free agent
Cleiton Silva,Cleiton Augusto Oliveira Silva,ST,Brazil,SC East Bengal FC
J. Edwards,Joe Edwards,RWB,England,Plymouth Argyle
A. D'Errico,Andrea D'Errico,CM,Italy,Bari
F. Soyalp,Furkan Soyalp,CAM,Turkey,Gazişehir Gaziantep F.K.
A. O'Neill,Aiden O'Neill,CDM,Australia,Melbourne City FC
J. Masson,Julien Masson,CDM,France,Valenciennes FC
A. Rus,Adrian Rus,CB,Romania,Pisa
M. Hansen,Martin Hansen,GK,Denmark,Odense Boldklub
Ș. Baiaram,Ștefan Baiaram,RM,Romania,Universitatea Craiova
S. Nordli,Simen Bolkan Nordli,CAM,Norway,Aalesunds FK
E. Ersoy,Ertuğrul Ersoy,CB,Turkey,Gazişehir Gaziantep F.K.
Genaro,Genaro Rodríguez Serrano,CDM,Spain,Málaga CF
M. Zeitz,Manuel Zeitz,CDM,Germany,1. FC Saarbrücken
R. Becker,Robin Becker,RB,Germany,SG Dynamo Dresden
Borja Herrera,Borja Herrera González,LB,Spain,Hyderabad FC
J. Lelieveld,Julian Lelieveld,RWB,Netherlands,RKC Waalwijk
C. Rodríguez,Camilo Rodríguez,RB,Chile,CD Antofagasta
J. Newell,Joe Newell,CDM,England,Hibernian
D. Gallagher,Declan Gallagher,CB,Scotland,St. Mirren
L. Albertengo,Lucas Albertengo,ST,Argentina,Defensa y Justicia
Léo Bonatini,Leonardo B. Lohner Maia,ST,Brazil,Wolverhampton Wanderers
R. Gagno,Riccardo Gagno,GK,Italy,Modena
L. Canotto,Luigi Canotto,RW,Italy,Urbs Reggina 1914
L. Duarte,Laros Duarte,CM,Netherlands,FC Groningen
K. Ehlers,Kevin Ehlers,CB,Germany,SG Dynamo Dresden
Y. Nadrani,Yahya Nadrani,CB,France,Aalborg BK
M. Szwoch,Mateusz Szwoch,RM,Poland,Wisła Płock
I. Zlobin,Ivan Zlobin,GK,Russia,Futebol Clube de Famalicão
Paulo Bernardo,Paulo Guilherme Gonçalves Bernardo,CAM,Portugal,SL Benfica
L. Leahy,Luke Leahy,LM,England,Shrewsbury Town
J. Bolívar,Jovanny Bolívar,ST,Venezuela,Deportivo La Guaira FC
E. Mulder,Erwin Mulder,GK,Netherlands,Go Ahead Eagles
A. Crețu,Alexandru Crețu,CB,Romania,Universitatea Craiova
E. Shuranov,Erik Shuranov,ST,Germany,1. FC Nürnberg
G. Osho,Gabriel Osho,CB,England,Luton Town
M. Gümüşkaya,Muhammed Gümüşkaya,CAM,Turkey,KVC Westerlo
Ricardo Batista,Ricardo José Cecília Batista,GK,Portugal,Casa Pia
F. Álvarez,Favio Álvarez,CAM,Argentina,Club Atlético Talleres
C. Gutiérrez,Cristian Gutiérrez,LWB,Canada,Vancouver Whitecaps FC
N. Al Dawsari,Nasser Al Dawsari,LM,Saudi Arabia,Al Hilal
C. Almeida,Christian Almeida,LB,Uruguay,Club Nacional de Football
C. Herc,Christián Herc,RM,Slovakia,Grasshopper Club Zürich
A. Slimane,Anis Slimane,CM,Tunisia,Brøndby IF
N. Angulo,Nilson Angulo,CAM,Ecuador,RSC Anderlecht
L. Engel,Lukas Engel,LB,Denmark,Silkeborg IF
A. Bonnet,Alexandre Bonnet,LM,France,US Quevilly Rouen Métropole
D. De Silva,Daniel De Silva,CAM,Australia,Macarthur FC
G. Durbant,Geoffray Durbant,ST,France,Stade Lavallois Mayenne FC
L. Caicedo,Luis Caicedo,CB,Ecuador,LDU Quito
L. Crepulja,Ljuban Crepulja,CDM,Croatia,Rapid București
Flávio,Flávio da Silva Ramos,CB,Brazil,FC Paços de Ferreira
T. Domgjoni,Toni Domgjoni,CM,Kosovo,Vitesse
W. Boyle,William Boyle,CB,England,Huddersfield Town
M. Kryeziu,Mirlind Kryeziu,CB,Kosovo,FC Zürich
Charles,Charles Rigon Matos,CM,Brazil,FC Midtjylland
F. Piasecki,Fabian Piasecki,ST,Poland,Raków Częstochowa
D. Rots,Daan Rots,CAM,Netherlands,FC Twente
M. Muntari,Mohammed Muntari,ST,Qatar,Free agent
N. Bellomo,Nicola Bellomo,CM,Italy,Bari
S. Hutchinson,Sam Hutchinson,CB,England,Reading
O. Haddadi,Oussama Haddadi,CB,Tunisia,SpVgg Greuther Fürth
Y. Ackah,Yaw Ackah,CDM,Ghana,Yukatel Kayserispor
W. Tandazo,Walter Tandazo,CM,Peru,FBC Melgar
C. Arrua,Carlos Arrua,CAM,Paraguay,Club Nacional
J. Forster-Caskey,Jake Forster-Caskey,CM,England,Charlton Athletic
C. Magallán,César Magallán,RM,Venezuela,Hermanos Colmenarez
S. Thern,Simon Thern,CAM,Sweden,IFK Göteborg
A. McGeady,Aiden McGeady,CAM,Republic of Ireland,Hibernian
L. Hinterseer,Lukas Hinterseer,ST,Austria,F.C. Hansa Rostock
M. Schultz,Michael Schultz,CB,Germany,Eintracht Braunschweig
A. Appindangoye,Aaron Appindangoye,CB,Gabon,Demir Grup Sivasspor
Ž. Gavrić,Željko Gavrić,CAM,Serbia,Ferencvárosi TC
H. Stengel,Herman Stengel,CM,Norway,Strømsgodset IF
S. Szmodics,Sammie Szmodics,CAM,Republic of Ireland,Blackburn Rovers
J. Marulanda,Jonathan Marulanda,RB,Colombia,Club Deportes Tolima
K. Hoever,Ki-Jana Hoever,RB,Netherlands,PSV
J. Villagra,Jonathan Villagra,CB,Chile,Unión Española
S. Colombi,Simone Colombi,GK,Italy,Urbs Reggina 1914
J. Cumming,Jamie Cumming,GK,England,Milton Keynes Dons
Clésio,Clésio Baúque,RW,Mozambique,Clube Sport Marítimo
D. Furman,Dominik Furman,CM,Poland,Wisła Płock
J. Shea,James Shea,GK,England,Luton Town
J. Sánchez,Joel Sánchez,CAM,Peru,FBC Melgar
V. Gvilia,Valerian Gvilia,CM,Georgia,Raków Częstochowa
P. Sokołowski,Patryk Sokołowski,CDM,Poland,Legia Warszawa
G. Margreitter,Georg Margreitter,CB,Austria,Grasshopper Club Zürich
Ruan,Ruan Gregório Teixeira,RB,Brazil,Orlando City Soccer Club
B. Hansen,Benjamin Hansen,CB,Denmark,Molde FK
L. Zuta,Leonard Zuta,LB,North Macedonia,Vålerenga Fotball
Franquesa,Enric Franquesa Dolz,LWB,Spain,Levante Unión Deportiva
E. Aiwu,Emanuel Aiwu,CB,Austria,US Cremonese
T. Schröck,Tobias Schröck,CB,Germany,FC Ingolstadt 04
J. Ceka,Jason Ceka,CAM,Germany,1. FC Magdeburg
P. Wiśniewski,Przemysław Wiśniewski,CB,Poland,Venezia FC
M. Murillo,Miguel Murillo,ST,Colombia,Royal Pari
S. Schimmer,Stefan Schimmer,ST,Germany,1. FC Heidenheim 1846
R. Assalé,Roger Assalé,RW,Côte d'Ivoire,Dijon FCO
Y. Gboho,Yann Gboho,RM,France,KSV Cercle Brugge
P. Barrios,Pier Barrios,CB,Argentina,Godoy Cruz
E. Dilaver,Emir Dilaver,CB,Austria,Dinamo Zagreb
J. Donacien,Janoi Donacien,CB,Saint Lucia,Ipswich Town
M. Ritter,Marlon Ritter,CAM,Germany,1. FC Kaiserslautern
D. Miculescu,David Miculescu,ST,Romania,FCSB (Steaua)
S. Eduok,Samuel Eduok,RW,Nigeria,Hajduk Split
P. Yade,Pape Ndiaga Yade,ST,Senegal,ESTAC Troyes
Alex Millán,Alejandro Millán Iranzo,ST,Spain,Futebol Clube de Famalicão
Salva Ferrer,Salvador Ferrer Canals,RWB,Spain,Spezia
D. Drăguș,Denis Drăguș,ST,Romania,Standard de Liège
A. Opoku,Aaron Opoku,RM,Germany,1. FC Kaiserslautern
P. Ngawa,Pierre-Yves Ngawa,CB,Belgium,Oud-Heverlee Leuven
Simón Moreno,Simón Moreno Barroso,ST,Spain,CD Mirandés
Ș. Târnovanu,Ștefan Târnovanu,GK,Romania,FCSB (Steaua)
M. Harris,Mark Harris,RM,Wales,Cardiff City
J. Grahl,Jens Grahl,GK,Germany,Eintracht Frankfurt
Aimar Oroz,Aimar Oroz Huarte,CAM,Spain,CA Osasuna
J. Cruz,Juan Cruz,ST,Argentina,Club Atlético Banfield
N. Morgantini,Nicolás Morgantini,RB,Argentina,Platense
J. Cáceres,Juan José Cáceres,RB,Argentina,Racing Club
Cadete,Enrique López Fernández,LB,Spain,Melbourne Victory
Kim Dong Hyun,Dong Hyun Kim,CM,Korea Republic,Gangwon FC
E. Adams,Ebou Adams,CB,Gambia,Cardiff City
R. Herrera,Robert Herrera,CB,Uruguay,Club Atlético River Plate
M. Johansson,Marko Johansson,GK,Sweden,VfL Bochum 1848
B. Reynolds,Bryan Reynolds,RB,United States,KVC Westerlo
J. Doyle-Hayes,Jake Doyle-Hayes,CM,Republic of Ireland,Hibernian
L. Nieto,Luciano Nieto,CAM,Argentina,Sport Boys
P. Steinhart,Phillipp Steinhart,LB,Germany,TSV 1860 München
M. Martínez,Miguel Ángel Martínez,GK,Paraguay,Club Cerro Porteño
R. Cabral,Rodrigo Cabral,RM,Argentina,Club Atlético Huracán
G. Henriksson,Gustav Henriksson,CB,Sweden,IF Elfsborg
D. Polanco,Daniel Polanco,CB,Colombia,La Equidad
T. Eaves,Tom Eaves,ST,England,Rotherham United
Paulo Henrique,Paulo Henrique Rodrigues Cabral,LB,Portugal,Santa Clara
G. Benavídez,Gastón Benavídez,RB,Argentina,Club Atlético Talleres
S. D'Almeida,Sessi D'Almeida,CDM,Benin,Pau FC
V. Vevatne,Viljar Helland Vevatne,CB,Norway,Viking FK
J. Meza,Jesús Meza,CAM,Venezuela,Estudiantes de Mérida
Martí Riverola,Martí Riverola Bataller,CAM,Spain,FC Andorra
M. Martins,Marvin Martins,RB,Luxembourg,FK Austria Wien
D. Anderson,Djavan Anderson,RB,Suriname,Oxford United
Á. Gracia,Ángel Gracia,LB,Ecuador,CS Emelec
F. Quinteros,Franco Quinteros,LB,Argentina,Club Atlético Sarmiento
Estevãtinho,Estevão Danilo Rios Chiamulera,CAM,Brazil,Fluminense
R. El Yaakoubi,Redouan El Yaakoubi,CB,Netherlands,Excelsior
R. Toledo,Rosalino Toledo,CM,Paraguay,Guaireña FC
Thiago Andrade,Thiago Eduardo de Andrade,RM,Brazil,New York City FC
E. Utkus,Edgaras Utkus,CB,Lithuania,KSV Cercle Brugge
S. Lex,Stefan Lex,ST,Germany,TSV 1860 München
M. Ríos,Miguel Ángel Ríos,RM,Bolivia,Club Deportivo Oriente Petrolero
N. Harriel,Nathan Harriel,RB,United States,Philadelphia Union
G. Paquiez,Gaëtan Paquiez,RB,France,Grenoble Foot 38
N. Zalazar,Nicolás Zalazar,CB,Argentina,Defensa y Justicia
J. Díaz,Juan Ignacio Díaz,CB,Argentina,Barracas Central
S. McLoughlin,Sean McLoughlin,CB,Republic of Ireland,Hull City
D. Linsmayer,Denis Linsmayer,CDM,Germany,FC Ingolstadt 04
E. Farías,Edder Farías,ST,Venezuela,Deportivo Táchira FC
R. Brown,Reece Brown,RM,England,Forest Green Rovers
Liu Yang,Yang Liu,LB,China PR,Shandong Taishan
A. Jacobsen,Anders K. Jacobsen,ST,Denmark,AC Horsens
T. Torun,Tunay Torun,RM,Turkey,Kasimpaşa SK
A. Greab,Alexandru Greab,GK,Romania,Campionii FC Arges
Diogo Queirós,Diogo Lucas Queirós,CB,Portugal,Futebol Clube de Famalicão
A. Gryszkiewicz,Adrian Gryszkiewicz,CB,Poland,SC Paderborn 07
F. Al Muwallad,Fahad Al Muwallad,LM,Saudi Arabia,Al Shabab
F. Antonucci,Francesco Antonucci,RM,Belgium,FC Volendam
J. McGrath,Jamie McGrath,CAM,Republic of Ireland,Dundee United
V. Johansson,Viktor Johansson,GK,Sweden,Rotherham United
T. Akindele,Tesho Akindele,ST,Canada,Orlando City Soccer Club
Yun Il Lok,Il-Lok Yun,LM,Korea Republic,Ulsan Hyundai FC
G. Madine,Gary Madine,ST,England,Blackpool
K. Mensah,Kevin Mensah,LB,Denmark,Brøndby IF
R. Stearman,Richard Stearman,CB,England,Derby County
A. Al Zain,Ahmed Al Zain,LW,Saudi Arabia,Damac FC
L. Daschner,Lukas Daschner,CAM,Germany,FC St. Pauli
V. Costache,Valentin Costache,RM,Romania,Rapid București
A. Al Hassan,Ali Al Hassan,CDM,Saudi Arabia,Al Nassr
F. Bastians,Felix Bastians,CB,Germany,Rot-Weiß Essen
F. Alidou,Faride Alidou,RM,Germany,Eintracht Frankfurt
L. Salvesen,Lars-Jørgen Salvesen,ST,Norway,FK Bodø/Glimt
E. Ruud,Espen Ruud,CM,Norway,Odds BK
L. Delap,Liam Delap,ST,England,Stoke City
K. Lee,Kieran Lee,CM,England,Bolton Wanderers
R. Edwards,Raheem Edwards,LB,Canada,LA Galaxy
R. Pantalon,Renato Pantalon,CB,Croatia,Rio Ave FC
Arnau Comas,Arnau Comas Freixas,CB,Spain,FC Basel 1893
N. Skyttä,Naatan Skyttä,CAM,Finland,Viking FK
L. Hurtado,Luis Enrique Hurtado,LM,Bolivia,Club Deportivo Guabirá
N. Nkounkou,Niels Nkounkou,LB,France,Cardiff City
S. Sebulonsen,Sebastian S. Sebulonsen,RB,Norway,Brøndby IF
H. Sy,Harouna Sy,LWB,France,Amiens SC
L. Mpasi,Lionel Mpasi,GK,Congo DR,Rodez Aveyron Football
F. Friday,Fred Friday,ST,Nigeria,Strømsgodset IF
F. Campos,Felipe Campos,RB,Chile,CD Everton de Viña del Mar
M. Merghem,Mehdi Merghem,LM,France,En Avant de Guingamp
M. Yıldırım,Muammer Yıldırım,GK,Turkey,Demir Grup Sivasspor
E. Zubas,Emilijus Zubas,GK,Lithuania,FC Arouca
F. Peña,Felipe Peña,CB,Argentina,River Plate
P. Dorn,Pius Dorn,RM,Germany,FC Luzern
R. Jenssen,Ruben Yttergård Jenssen,CM,Norway,Tromsø IL
A. Jukic,Aleksandar Jukic,CAM,Austria,FK Austria Wien
V. Boniface,Victor Boniface,ST,Nigeria,Royale Union Saint-Gilloise
A. Saidi,Abdelrahman Saidi,RM,Sweden,Hammarby IF
T. Allende,Tadeo Allende,RM,Argentina,Godoy Cruz
S. Medina,Sebastián Medina,LM,Argentina,Patronato
H. Zuck,Hendrick Zuck,LB,Germany,1. FC Kaiserslautern
M. Spiranovic,Matthew Spiranovic,CB,Australia,Melbourne Victory
C. Tengstedt,Casper Tengstedt,ST,Denmark,Rosenborg BK
D. Rivillo,Daniel Rivillo,RB,Venezuela,Caracas Fútbol Club
O. Dabbagh,Oday Dabbagh,ST,Palestine,FC Arouca
Lee Yong,Yong Lee,RB,Korea Republic,Suwon FC
E. García,Emiliano García,CB,Uruguay,Montevideo Wanderers
B. Turgott,Blair Turgott,RW,Jamaica,BK Häcken
R. Ramallo,Rodrigo Ramallo,ST,Bolivia,Club Always Ready
R. Lundström,Robert Lundström,RWB,Sweden,GIF Sundsvall
É. Michut,Édouard Michut,CAM,France,Sunderland
M. Bonne,Macauley Bonne,ST,Zimbabwe,Queens Park Rangers
J. Vickers,Josh Vickers,GK,England,Rotherham United
M. Grødem,Magnus Retsius Grødem,CAM,Norway,Molde FK
S. Pinas,Shaquille Pinas,CB,Suriname,Hammarby IF
N. Cadden,Nicky Cadden,LM,Scotland,Barnsley
G. Risso Patrón,Gabriel Risso Patrón,LB,Argentina,Atlético Tucumán
O. Skarsem,Olaus Jair Skarsem,CAM,Norway,Rosenborg BK
P. Lagemyr,Patrik Karlsson Lagemyr,CAM,Sweden,IK Sirius
F. Ștefan,Florin Ștefan,LB,Romania,Rapid București
C. McHugh,Carl McHugh,CDM,Republic of Ireland,ATK Mohun Bagan FC
S. Haugen,Sigurd Haugen,ST,Norway,Aarhus GF
K. Matošević,Kristjan Matošević,GK,Croatia,Cosenza
M. Cangá,Marcos Cangá,RB,Ecuador,9 de Octubre
L. Schleimer,Lukas Schleimer,CAM,Germany,1. FC Nürnberg
A. Ferati,Arianit Ferati,LM,Germany,Fortuna Sittard
K. da Graca,Kristopher da Graca,CB,Sweden,IK Sirius
D. Epassy,Devis Epassy,GK,Cameroon,Abha Club
A. Halliday,Andy Halliday,LWB,Scotland,Heart of Midlothian
D. Kolinger,Denis Kolinger,CB,Croatia,CFR Cluj
Ricard Pujol,Ricard Pujol Amat,LB,Spain,SD Ponferradina
J. Rodríguez,Jackson Rodríguez,LWB,Ecuador,CS Emelec
Óscar Pinchi,Óscar Francisco García Quintela,RM,Spain,CD Mirandés
B. Kopacz,Bartosz Kopacz,CB,Poland,Zagłębie Lubin
J. Zacaría,Jonathan Zacaría,LW,Argentina,Club Atlético Aldosivi
L. Palmer,Liam Palmer,CB,Scotland,Sheffield Wednesday
Raúl García,Raúl García de Haro,ST,Spain,CD Mirandés
N. Lozano,Neyder Lozano,CB,Colombia,CD Lugo
B. Goncalves,Bryan Goncalves,CB,France,Stade Lavallois Mayenne FC
J. Chávez,Jesus Chávez,CAM,Peru,Sport Boys
I. Filipović,Ivan Filipović,GK,Croatia,Paris FC
Y. Arismendi,Yair Arismendi,LM,Argentina,Club Atlético Sarmiento
M. Čabraja,Marijan Čabraja,LWB,Croatia,Hibernian
Miguel Rubio,Miguel Ángel Rubio Lestán,CB,Spain,Granada CF
C. Torrejón,Claudio Torrejón,CDM,United States,Sport Boys
L. Lund,Lucas Lund,GK,Denmark,Viborg FF
H. Burrows,Harrison Burrows,LWB,England,Peterborough United
Diego Caballo,Diego Caballo Alonso,LB,Spain,Sydney FC
A. Akinola,Ayo Akinola,ST,Canada,Toronto FC
M. Solini,Matteo Solini,CB,Italy,Como
M. Al Shanqeeti,Muhannad Al Shanqeeti,RB,Saudi Arabia,Al Ittihad
C. Ortiz,Charlis Ortiz,ST,Venezuela,Metropolitanos de Caracas FC
M. Pink,Markus Pink,ST,Austria,SK Austria Klagenfurt
J. Maggiotti,Julien Maggiotti,CAM,France,Stade Lavallois Mayenne FC
A. Gallo,Antonino Gallo,LWB,Italy,Lecce
C. Castro Devenish,Cristian Castro Devenish,CB,Colombia,Atlético Nacional
E. Makgopa,Evidence Makgopa,ST,South Africa,Orlando Pirates
A. Søderlund,Alexander Søderlund,ST,Norway,FK Haugesund
C. Zady Sery,Caleb Zady Sery,RM,Côte d'Ivoire,Stade Malherbe Caen
S. Sandberg,Simon Sandberg,RB,Sweden,Hammarby IF
A. Lima,Adolfo Lima,RM,Uruguay,Cerro Largo Fútbol Club
N. Contin,Nicolás Contin,ST,Argentina,Gimnasia y Esgrima La Plata
L. Maciel,Leandro Maciel,CDM,Argentina,Club Atlético Aldosivi
S. Smith,Sam Smith,ST,England,Cambridge United
T. Schreiber,Tim Schreiber,GK,Germany,Holstein Kiel
Kevin,Kevin Villodres Medina,RM,Spain,Gil Vicente FC
Y. Reyna,Yordy Reyna,ST,Peru,Charlotte FC
N. Hagglund,Nick Hagglund,CB,United States,FC Cincinnati
P. Medina,Paolo Medina,RB,Mexico,AFC Hermannstadt
A. Munksgaard,Alexander Munksgaard,RWB,Denmark,Aarhus GF
B. Hanlan,Brandon Hanlan,ST,England,Wycombe Wanderers
J. Sforza,Juan Sforza,CM,Argentina,Newell's Old Boys
M. John,Marco John,LM,Germany,SpVgg Greuther Fürth
R. Živković,Richairo Živković,ST,Netherlands,FC Emmen
Ratón,Álvaro López Ratón,GK,Spain,Real Zaragoza
F. Herbers,Fabian Herbers,CAM,Germany,Chicago Fire Football Club
S. Gori,Stefano Gori,GK,Italy,Perugia
D. Ubbink,Desley Ubbink,RM,Netherlands,AFC UTA Arad
J. Patiño,Juan Patiño,CB,Paraguay,Club Cerro Porteño
J. Chalá,Jeison Chalá,RW,Ecuador,CS Emelec
H. Dotson,Hassani Dotson,CDM,United States,Minnesota United FC
I. Touré,Idrissa Touré,CAM,Germany,Pisa
J. Jones,Jodi Jones,RW,Malta,Oxford United
